2026-09-07T14:01:18.546205631Z [err]  [anime-sama-api] Version ignorée (saison1/va): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/uniteup/saison1/va/.
2026-09-07T14:01:20.022905506Z [err]  [anime-sama-api] Version ignorée (saison2/vo): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/uniteup/saison2/vo/.
2026-09-07T14:01:20.022910736Z [err]  [anime-sama-api] Version ignorée (saison2/vf): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/uniteup/saison2/vf/.
2026-09-07T14:01:21.125909866Z [err]  [anime-sama-api] Version ignorée (saison1/vf): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/unlimited-psychic-squad/saison1/vf/.
2026-09-07T14:01:21.480729889Z [err]  [anime-sama-api] Version ignorée (saison2/vkr): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/uniteup/saison2/vkr/.
2026-09-07T14:01:21.480732909Z [err]  [anime-sama-api] Version ignorée (saison2/va): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/uniteup/saison2/va/.
2026-09-07T14:01:22.421321848Z [err]  [anime-sama-api] Version ignorée (saison1/vo): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/unlimited-psychic-squad/saison1/vo/.
2026-09-07T14:01:22.421325498Z [err]  [anime-sama-api] Version ignorée (saison1/vkr): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/unlimited-psychic-squad/saison1/vkr/.
2026-09-07T14:01:23.824922078Z [err]  [anime-sama-api] Version ignorée (saison1/va): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/unlimited-psychic-squad/saison1/va/.
2026-09-07T14:01:25.369849764Z [err]  [anime-sama-api] Version ignorée (saison1/vf): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/unnamed-memory/saison1/vf/.
2026-09-07T14:01:27.285711329Z [err]  [anime-sama-api] Version ignorée (saison1/vo): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/unnamed-memory/saison1/vo/.
2026-09-07T14:01:27.285714269Z [err]  [anime-sama-api] Version ignorée (saison1/vkr): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/unnamed-memory/saison1/vkr/.
2026-09-07T14:01:28.142776539Z [err]  [anime-sama-api] Version ignorée (saison1/va): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/unnamed-memory/saison1/va/.
2026-09-07T14:01:29.539643637Z [err]  [anime-sama-api] Version ignorée (saison2/vo): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/unnamed-memory/saison2/vo/.
2026-09-07T14:01:29.539656237Z [err]  [anime-sama-api] Version ignorée (saison2/vf): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/unnamed-memory/saison2/vf/.
2026-09-07T14:01:30.978478909Z [err]  [anime-sama-api] Version ignorée (saison2/vkr): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/unnamed-memory/saison2/vkr/.
2026-09-07T14:01:30.978892286Z [err]  [anime-sama-api] Version ignorée (saison2/va): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/unnamed-memory/saison2/va/.
2026-09-07T14:01:35.352703173Z [err]  [anime-sama-api] Version ignorée (saison1/vf): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/uq-holder/saison1/vf/.
2026-09-07T14:01:36.775628739Z [err]  [anime-sama-api] Version ignorée (saison1/vo): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/uq-holder/saison1/vo/.
2026-09-07T14:01:36.962368049Z [err]  [anime-sama-api] Version ignorée (saison1/vkr): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/uq-holder/saison1/vkr/.
2026-09-07T14:01:38.462251280Z [err]  [anime-sama-api] Version ignorée (saison1/va): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/uq-holder/saison1/va/.
2026-09-07T14:01:40.703104563Z [err]  [anime-sama-api] Version ignorée (saison1/vf): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/uramichi-oniisan/saison1/vf/.
2026-09-07T14:01:42.081211510Z [err]  [anime-sama-api] Version ignorée (saison1/vkr): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/uramichi-oniisan/saison1/vkr/.
2026-09-07T14:01:42.081217530Z [err]  [anime-sama-api] Version ignorée (saison1/vo): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/uramichi-oniisan/saison1/vo/.
2026-09-07T14:01:43.519741969Z [err]  [anime-sama-api] Version ignorée (saison1/va): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/uramichi-oniisan/saison1/va/.
2026-09-07T14:01:45.818462397Z [err]  [anime-sama-api] Version ignorée (saison1/vo): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/urusei-yatsura/saison1/vo/.
2026-09-07T14:01:45.818466257Z [err]  [anime-sama-api] Version ignorée (saison1/vkr): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/urusei-yatsura/saison1/vkr/.
2026-09-07T14:01:47.198309792Z [err]  [anime-sama-api] Version ignorée (saison1/va): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/urusei-yatsura/saison1/va/.
2026-09-07T14:01:48.728495837Z [err]  [anime-sama-api] Version ignorée (saison2/vo): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/urusei-yatsura/saison2/vo/.
2026-09-07T14:01:50.099455436Z [err]  [anime-sama-api] Version ignorée (saison2/va): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/urusei-yatsura/saison2/va/.
2026-09-07T14:01:50.108830779Z [err]  [anime-sama-api] Version ignorée (saison2/vkr): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/urusei-yatsura/saison2/vkr/.
2026-09-07T14:01:51.493786713Z [err]  [anime-sama-api] Version ignorée (saison1/vo): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/uruwashi-no-yoi-no-tsuki/saison1/vo/.
2026-09-07T14:01:51.493791163Z [err]  [anime-sama-api] Version ignorée (saison1/vkr): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/uruwashi-no-yoi-no-tsuki/saison1/vkr/.
2026-09-07T14:01:52.298571228Z [err]  [anime-sama-api] Version ignorée (saison1/vkr): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/uruwashi-no-yoi-no-tsuki/saison1/vkr/.
2026-09-07T14:01:52.298576408Z [err]  [anime-sama-api] Version ignorée (saison1/vo): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/uruwashi-no-yoi-no-tsuki/saison1/vo/.
2026-09-07T14:01:52.944763072Z [err]  [anime-sama-api] Version ignorée (saison1/va): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/uruwashi-no-yoi-no-tsuki/saison1/va/.
